作者banbee100 (BB)看板Stock標題[新聞] 2022台灣人均GDP 首度超車南韓時間Mon Jan 30 17:25:27 2023
推 qwe78971    : 扣掉房地產至少落後30% 01/30 17:26
→ sc2x2       : 所以只能找比台灣爛的比嘛 自嗨… 01/31 00:13

推 j198811     : 反正八卦都當沒看見啊 01/31 00:14

推 davis5566   : 喔喔  想必我們薪水中位數跟購買力一定超越日韓囉 01/31 00:17

推 bj45566     : 根據瑞士某大財富管理公司發布的 2022 年數據，台灣 01/31 00:28

→ bj45566     : 成年人的資產中位數略低於日本，高於義大利、南韓、 01/31 00:28

→ bj45566     : 新加坡 01/31 00:28

推 bj45566     : 如果看成人資產的「平均值」，新加坡是超過台灣一截 01/31 00:30

推 bj45566     : 至於「中位數」和「平均值」哪個比較能反應生活體感 01/31 00:33

→ bj45566     : ，應該算是蠻有共識了 01/31 00:33

→ bj45566     : P.S. 南韓成年人資產無論中位數或平均值都輸台灣 01/31 00:33

推 aa00788     : 20年經濟最好 買不起房怪自己不努力 01/31 00:54

→ aa00788     : 都給你最好的環境了 低端在那叫什麼 01/31 00:55

噓 Cliffx      : 薪水被屌虐 01/31 01:32

推 qaz13579    : 購買力不輸南韓吧 地獄朝鮮不是開玩笑的 01/31 01:45

→ qaz13579    : 南韓自己論壇看到這類新聞直接酸爆政府了 打房也打 01/31 01:45

→ qaz13579    : 不好 薪資水準倒退 正職缺越來越少都用承攬僱傭 中 01/31 01:45

→ qaz13579    : 小企業倒光 01/31 01:45

→ qaz13579    : 首次貿易逆差1.4兆 是實實在在在大衰退了 我們超越 01/31 01:47

→ qaz13579    : 真的是剛好而已 倒也不用太自滿 疫情後經濟成長有目 01/31 01:47

→ qaz13579    : 共篤 希望大家持續努力 01/31 01:47

→ warin       : 有點像北宋好不容易收復燕雲十六州希望不是曇花一現 01/31 02:18

噓 thepstar    : 也不是變成薪水 01/31 03:27

推 shaoleo     : 中国不是自古以來就超越南韓了？少見多怪... 01/31 04:13

→ ariasonata  : 又在自high 01/31 05:05

推 aniki66     : 馬時代 油電一次漲足 薪水倒退22k 一來一往不死也半 01/31 05:08

→ aniki66     : 條命 產業外移 還想往上爬? 01/31 05:09

推 vbhero      : GDP沒分給員工有屁用 01/31 05:50

推 noyesray    : 南韓房地產才爆貴 一堆井蛙 01/31 06:32

推 piliwu      : 三星很慘不只是景氣循環，記憶體美光也超車三星了 01/31 06:45

推 s454666     : 事實是韓國房地產崩跌 台灣房地產創新高 01/31 07:26

→ s454666     : 才超車韓國的 01/31 07:26

推 leo255112   : 經濟20年來最好 01/31 07:27

→ k798976869  : 不是啊 就一個鼻屎小島 沒天然資源 人口也比別人少 01/31 07:48

→ k798976869  : 幹嘛一直和別人比較本來就比不贏 能拿到半導體怠工 01/31 07:48

→ k798976869  : 就很好了 01/31 07:48

推 WTF55665566 : 結果比贏了之前整天貶台的反觀仔卻墊墊了XD 回去翻 01/31 08:04

→ WTF55665566 : 一下央行的文一堆這種被打臉 01/31 08:04

→ WTF55665566 : 南韓說白了就親中造成的後遺症  整個經濟跟中國掛 01/31 08:06

→ WTF55665566 : 鉤太嚴重 去年自然全面崩壞 加上韓寰走弱 01/31 08:06

→ pponywong   : 南韓就手機賣不好 晶圓代工被台積吃光 記憶體景氣 01/31 08:13

→ pponywong   : 循環 記得前兩年三星電子獲利還創新高的樣子 01/31 08:13

噓 buyoption   : 各位沒有在半導體產業的 真的覺得變有錢了嗎？ 01/31 08:25

推 WTF55665566 : 整個疫情期間有成長的也就那幾個國家 台灣就是其一 01/31 08:31

→ WTF55665566 : 你說呢？ 01/31 08:31

推 Croy        : ptt真的很多中國來的認知作戰 01/31 08:31

推 pponywong   : 香港 新加坡不走金融業的也還不是沒錢 so? 01/31 08:35

→ pponywong   : 整天要比來比去 哪怎不去問新加坡賣便當的收入有沒 01/31 08:36

→ pponywong   : 變多 然後發一篇新聞? 01/31 08:36

→ pponywong   : 這20年就是資訊時代 沒看到美國前幾大市值都是做 01/31 08:37

推 HenryLin123 : 台灣沒有半導體你以為各行各業尤其內需有這個薪水？ 01/31 08:37

→ pponywong   : 軟體 電腦 資訊服務的 那你要不要問美國農夫收入 01/31 08:38

→ pponywong   : 有沒有變多? 01/31 08:38

→ pponywong   : 還是你要回到16世紀大航海時代 問沒跑船的有沒有 01/31 08:38

→ pponywong   : 賺錢? 01/31 08:38

→ pponywong   : 回到漢朝問一下 沒走絲路貿易的農夫 有沒有賺錢? 01/31 08:40

→ pponywong   : 然後說 漢朝盛事是假的啦 你看農夫都沒賺錢 01/31 08:40

→ pponywong   : 回到宋元 不去問泉州商人 也一樣跑去問農夫 01/31 08:41

→ pponywong   : 然後說 宋朝經濟發達是假的 農夫一樣沒賺錢 01/31 08:41

→ pponywong   : 工業革命 你當農夫收入也還不是一樣沒變多 怪誰? 01/31 08:43

推 rickcoo     : 讚喔 01/31 08:43

推 pponywong   : 還是你要跑去18世紀德州 問沒挖石油的人有沒有賺錢? 01/31 08:46

→ pponywong   : 問什麼智障問題 連現在是什麼時代都不知道 01/31 08:46

→ pponywong   : 如果每個行業都要賺錢 還念電資資工幹嘛 在家念 01/31 08:47

→ pponywong   : 老祖宗的四書五經就好了 01/31 08:47

推 q1478584    : 也不用在哪講什麼台灣沒在半導體產業的有沒有那個薪 01/31 09:01

→ q1478584    : 水啦 美國沒有蘋果特斯拉微軟英特爾通用洛克希德 會 01/31 09:01

→ q1478584    : 這麼強嗎 不會嘛但現實是美國有 那美國這些難道沒 01/31 09:01

→ q1478584    : 拉高平均 你以為貧富差距只在台灣喔 01/31 09:01

推 pponywong   : 會講這種話的 只有一種解釋 他們來自一個沒有貧富差 01/31 09:13

→ pponywong   : 距的國家 一個共產烏托邦的世界 01/31 09:13

推 crohns      : 日韓兩國一個是滿滿的服務業爆肝魯蛇，一個沒有唸 01/31 09:25

→ crohns      : 頂大沒有進財閥就去當派遣魯蛇吧，也許中年後可以 01/31 09:25

→ crohns      : 買一戶半地下公寓 01/31 09:25

→ crohns      : 南朝鮮的問題是早年重壓在中國市場，結果現在很難 01/31 09:25

→ crohns      : 抽身 01/31 09:25

→ QB6996      : 太好了，突然覺得自己生活變好了，8坪的租套變得好 01/31 09:41

→ QB6996      : 大，100元的便當變得更香啦。 01/31 09:41

推 olivewood   : 韓國房價沒有比較低R，再說今年會贏的原因又不是不 01/31 09:49

→ olivewood   : 知道，明年有沒有辦法維持才是重點吧 01/31 09:49

推 boydontcry  : 是我拖累大家了 我該檢討 01/31 10:33

→ barusu      :  https://i.imgur.com/5Q2iESw.jpg 01/31 12:04

→ barusu      :  https://i.imgur.com/3CxCW1l.jpg 01/31 12:04

→ barusu      : 全民玩股？又一個憑感覺的，ㄏ 01/31 12:05

推 HenryLin123 : 就是八卦仔宇宙啊，不做事沒能力但自己薪水要高，別 01/31 12:14

→ HenryLin123 : 人的薪水跟物價都很低。 01/31 12:14

推 HyperPoro   : ptt五毛真多 01/31 12:27

推 NiMaDerB    : 房地產救國 01/31 12:43

推 ffbbhh      : 輸也罵,贏也罵 ~~呵呵 01/31 12:57

推 chiro1982   : 啥時候薪水超車才是新聞 01/31 14:00

推 kducky      : GDP這種東西漲可能沒感覺，跌絕對有感覺 01/31 14:49

噓 wind1729    : 怎不看薪資中位數，自爽好玩嗎 01/31 15:08

推 WTF55665566 : 好了啦反觀仔 整天貶低台灣被數據打臉就開始找別的 01/31 15:15

→ WTF55665566 : 東西跳針 承認自己看走眼很難嗎？ 01/31 15:15

噓 MiniArse    : 首度? 01/31 16:05

推 stoneofsea  : 實質月薪資有五萬台票在說吧！ 01/31 19:50

推 adsl5001    : 說實在窮不用一直上來跟大家講== 01/31 20:33
